carat,cut,depth,table
0.21,Premium,59.8,61.0
0.29,Premium,62.4,58.0
0.22,Fair,65.1,61.0
0.22,Premium,60.4,61.0
0.2,Premium,60.2,62.0
0.32,Premium,60.9,58.0
0.24,Premium,62.5,57.0
0.29,Premium,62.4,58.0
0.22,Premium,61.6,58.0
0.22,Premium,59.3,62.0
0.3,Premium,59.3,61.0
0.3,Premium,62.6,59.0
0.42,Premium,61.5,59.0
0.31,Premium,61.8,58.0
0.24,Premium,60.7,58.0
0.3,Premium,62.9,59.0
0.3,Premium,62.5,57.0
0.24,Premium,62.3,59.0
0.24,Premium,61.2,58.0
0.24,Premium,60.8,59.0
0.24,Premium,60.7,58.0
0.32,Premium,62.9,58.0
0.86,Fair,55.1,69.0
0.96,Fair,66.3,62.0
0.8,Premium,61.5,58.0
0.75,Premium,59.9,54.0
0.75,Premium,61.7,58.0
0.8,Premium,63.0,59.0
0.9,Premium,63.0,58.0
0.8,Premium,61.7,58.0
0.7,Fair,64.5,57.0
0.7,Fair,65.3,55.0
0.7,Premium,61.6,60.0
0.91,Premium,61.4,56.0
0.91,Fair,64.4,57.0
0.91,Fair,65.7,60.0
0.63,Premium,60.9,60.0
0.71,Premium,61.8,59.0
0.71,Premium,60.9,57.0
0.71,Premium,59.8,56.0
0.71,Premium,61.7,59.0
0.71,Premium,62.5,60.0
0.73,Premium,61.4,59.0
0.73,Premium,60.7,58.0
0.73,Premium,61.5,58.0
0.73,Premium,59.2,59.0
0.7,Premium,58.0,62.0
0.71,Premium,62.7,58.0
0.71,Premium,62.1,58.0
0.7,Premium,61.1,60.0
0.7,Premium,60.0,59.0
0.7,Premium,61.2,57.0
0.7,Premium,62.7,59.0
0.7,Premium,61.0,57.0
0.7,Premium,61.0,58.0
0.72,Premium,61.8,61.0
0.7,Premium,61.3,58.0
0.7,Premium,60.5,58.0
0.98,Fair,67.9,60.0
0.78,Premium,62.4,58.0
0.77,Premium,61.2,58.0
1.01,Premium,61.8,60.0
0.7,Premium,62.9,60.0
0.72,Premium,62.7,59.0
0.7,Premium,62.8,60.0
0.84,Fair,55.1,67.0
0.75,Premium,61.4,59.0
1.01,Fair,64.5,58.0
1.01,Premium,62.7,59.0
0.76,Premium,60.4,58.0
0.76,Premium,61.8,58.0
0.63,Premium,62.1,57.0
0.63,Premium,60.9,60.0
0.77,Premium,61.3,60.0
1.05,Fair,65.8,59.0
0.76,Premium,58.8,59.0
0.71,Premium,60.1,62.0
0.71,Premium,61.8,59.0
0.71,Premium,59.2,59.0
0.71,Premium,61.8,59.0
0.7,Premium,62.1,60.0
0.7,Premium,60.7,60.0
0.76,Premium,59.6,57.0
0.81,Premium,61.9,60.0
0.72,Premium,62.0,60.0
0.72,Premium,63.0,57.0
0.81,Premium,58.0,59.0
0.72,Premium,62.9,57.0
1.0,Premium,58.2,60.0
0.71,Premium,62.7,60.0
0.71,Premium,61.3,58.0
0.71,Premium,61.6,60.0
0.7,Fair,58.8,66.0
0.8,Premium,61.0,57.0
1.01,Fair,67.4,60.0
0.7,Premium,62.2,58.0
0.74,Premium,62.9,60.0
0.76,Fair,59.0,70.0
0.73,Premium,62.7,58.0
0.71,Premium,62.1,58.0
0.71,Premium,62.8,57.0
1.04,Premium,62.2,58.0
1.0,Premium,62.3,58.0
0.72,Premium,63.0,55.0
0.72,Premium,62.4,58.0
0.71,Premium,62.6,58.0
0.71,Premium,58.0,62.0
0.71,Premium,62.4,61.0
0.77,Premium,61.3,57.0
0.71,Premium,59.9,60.0
0.78,Premium,60.8,58.0
0.9,Fair,67.3,59.0
0.74,Premium,61.7,58.0
0.74,Premium,61.9,56.0
0.57,Fair,58.7,66.0
0.73,Premium,62.5,57.0
0.74,Fair,61.1,68.0
0.93,Premium,61.9,57.0
1.0,Fair,66.4,59.0
0.81,Premium,59.2,57.0
0.71,Premium,60.7,54.0
1.2,Fair,64.6,56.0
1.0,Fair,65.7,59.0
0.99,Fair,68.1,56.0
0.32,Premium,62.7,58.0
0.32,Premium,62.8,58.0
0.32,Premium,61.0,59.0
0.3,Premium,60.9,59.0
0.3,Premium,60.1,55.0
0.3,Premium,62.9,58.0
0.99,Fair,55.0,61.0
0.73,Premium,58.6,60.0
0.91,Premium,59.8,58.0
0.76,Premium,62.2,59.0
0.75,Premium,61.1,59.0
0.74,Premium,61.7,58.0
0.9,Fair,65.0,56.0
0.95,Fair,56.0,60.0
0.89,Premium,60.2,59.0
0.72,Premium,58.3,58.0
0.96,Fair,53.1,63.0
1.02,Premium,60.3,58.0
0.78,Premium,61.5,59.0
0.71,Premium,61.3,56.0
0.71,Premium,62.3,58.0
0.71,Premium,59.2,59.0
0.71,Premium,61.8,59.0
0.71,Premium,61.4,58.0
0.7,Premium,62.4,61.0
0.7,Premium,59.3,60.0
0.7,Premium,63.0,60.0
1.0,Premium,61.3,60.0
0.86,Premium,59.3,62.0
0.7,Premium,59.6,57.0
0.7,Premium,61.8,60.0
0.7,Premium,62.7,57.0
1.0,Fair,65.3,62.0
0.73,Premium,61.6,59.0
0.73,Premium,61.3,58.0
0.73,Premium,59.6,61.0
0.73,Premium,62.2,59.0
0.73,Premium,61.7,55.0
0.7,Premium,60.8,60.0
0.72,Premium,60.3,59.0
0.72,Premium,60.9,60.0
0.72,Premium,62.4,59.0
0.7,Premium,60.2,60.0
0.71,Premium,62.7,60.0
0.71,Premium,61.3,58.0
0.7,Premium,60.2,60.0
0.7,Premium,61.5,59.0
0.7,Premium,62.6,56.0
0.7,Premium,60.7,62.0
0.7,Premium,60.6,58.0
0.71,Premium,62.3,58.0
0.9,Fair,65.8,54.0
0.71,Premium,61.2,59.0
0.82,Premium,60.8,60.0
0.71,Premium,62.2,59.0
0.83,Premium,60.0,59.0
0.83,Premium,62.5,59.0
1.17,Premium,60.2,61.0
0.91,Fair,61.3,67.0
0.73,Premium,62.6,60.0
0.9,Premium,62.2,59.0
0.7,Premium,62.2,58.0
0.7,Premium,59.4,61.0
0.78,Premium,60.8,60.0
0.79,Premium,62.6,58.0
1.01,Premium,61.6,61.0
0.72,Premium,62.2,58.0
0.75,Premium,61.9,57.0
0.8,Premium,60.2,57.0
0.9,Premium,60.6,62.0
0.72,Premium,62.1,58.0
0.71,Premium,62.1,57.0
0.81,Premium,63.0,60.0
0.71,Premium,62.2,58.0
0.9,Fair,65.3,59.0
0.75,Premium,59.6,59.0
0.7,Premium,62.6,59.0
0.82,Fair,64.9,58.0
0.72,Premium,58.8,60.0
0.7,Premium,62.3,58.0
0.7,Premium,61.7,58.0
0.7,Premium,62.6,55.0
0.7,Premium,59.4,61.0
0.7,Premium,60.9,61.0
0.7,Premium,59.5,58.0
0.7,Premium,63.0,60.0
0.71,Premium,59.1,61.0
0.71,Premium,59.0,60.0
0.71,Premium,60.5,58.0
0.71,Premium,60.3,58.0
0.71,Premium,59.2,58.0
0.79,Premium,59.3,62.0
0.71,Premium,62.7,59.0
0.71,Premium,59.3,56.0
0.83,Premium,61.4,59.0
0.7,Premium,59.2,60.0
0.73,Premium,60.3,59.0
1.0,Premium,58.9,60.0
0.95,Fair,66.7,56.0
0.73,Premium,59.9,59.0
0.73,Premium,61.4,58.0
0.7,Premium,58.7,61.0
1.27,Premium,59.3,61.0
1.01,Fair,65.4,59.0
0.77,Premium,62.9,59.0
0.77,Premium,61.3,60.0
0.77,Premium,61.4,58.0
0.76,Premium,61.1,59.0
0.75,Fair,64.6,57.0
0.86,Premium,62.7,59.0
0.71,Premium,62.6,58.0
0.79,Premium,60.0,60.0
0.71,Premium,62.7,58.0
0.82,Premium,61.9,58.0
1.12,Premium,59.1,61.0
0.73,Premium,62.0,57.0
0.91,Fair,64.4,62.0
0.91,Fair,65.4,60.0
0.91,Fair,65.8,58.0
0.7,Premium,58.4,59.0
0.68,Premium,61.7,57.0
0.74,Premium,62.4,57.0
0.98,Fair,53.3,67.0
1.02,Fair,53.0,63.0
1.0,Fair,67.8,61.0
1.0,Fair,67.9,62.0
0.33,Premium,59.4,59.0
0.33,Premium,62.3,58.0
0.33,Premium,62.6,58.0
0.33,Premium,63.0,58.0
0.33,Premium,62.8,58.0
0.33,Premium,61.5,61.0
0.33,Premium,60.4,59.0
1.0,Fair,66.1,56.0
0.77,Premium,60.8,59.0
0.77,Premium,61.0,58.0
0.9,Premium,61.9,59.0
0.72,Premium,62.1,58.0
0.71,Premium,61.0,60.0
0.7,Premium,61.4,59.0
0.71,Premium,61.5,60.0
0.92,Premium,62.9,58.0
0.71,Premium,60.4,62.0
0.9,Fair,64.5,56.0
0.71,Fair,56.9,65.0
0.7,Premium,62.4,56.0
0.77,Premium,60.9,60.0
0.7,Premium,59.6,61.0
0.75,Fair,55.8,70.0
0.83,Premium,59.2,60.0
0.71,Premium,62.9,57.0
0.71,Premium,60.7,58.0
0.9,Premium,63.0,58.0
0.62,Fair,60.1,61.0
0.82,Premium,61.7,59.0
0.66,Premium,61.0,58.0
0.79,Premium,62.3,54.0
0.79,Premium,60.0,60.0
0.7,Premium,59.5,59.0
1.22,Premium,60.9,57.0
1.01,Fair,67.6,57.0
0.73,Premium,62.5,61.0
0.83,Premium,62.3,58.0
0.84,Premium,62.3,59.0
0.71,Premium,61.0,61.0
0.71,Premium,59.7,59.0
0.71,Premium,61.7,56.0
0.71,Premium,61.4,58.0
