Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,1102,1,2,2,Female,94,3,2,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,279,8,1,3,Male,61,2,2,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,1373,2,2,4,Male,92,2,1,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,1392,3,4,4,Female,56,3,1,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,591,2,1,1,Male,40,3,1,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,1005,2,2,4,Male,79,3,1,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,1324,3,3,3,Female,81,4,1,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,1358,24,1,4,Male,67,3,1,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,216,23,3,4,Male,44,2,3,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,1299,27,3,3,Male,94,3,2,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,809,16,3,1,Male,84,4,1,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,153,15,2,4,Female,49,2,2,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,No,670,26,1,1,Male,31,3,1,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,1346,19,2,2,Male,93,3,1,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,103,24,3,3,Male,50,2,1,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,No,1389,21,4,2,Female,51,4,3,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,334,5,2,1,Male,80,4,1,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,No,1123,16,2,4,Male,96,4,1,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,1219,2,4,1,Female,78,2,4,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,371,2,3,4,Male,45,3,1,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,673,11,2,1,Female,96,4,2,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,1218,9,4,3,Male,82,2,1,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,419,7,4,1,Female,53,3,3,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,391,15,2,3,Male,96,3,1,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,699,6,1,2,Male,83,3,1,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,1282,5,3,3,Female,58,3,5,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,Yes,1125,16,1,2,Female,72,1,1,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,691,8,4,3,Male,48,3,2,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,477,7,4,1,Female,42,2,3,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,705,2,4,2,Female,83,3,5,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,924,2,3,3,Male,78,3,1,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
