MitsukaKiyohara_CollectingData
Name,Alignment,Stamina,Flight,Weapon-wielding,Intelligence,Speed,Durability,Power,Combat
Ant-Man,good,FALSE,FALSE,FALSE,100,23,28,32,32
Black Widow,good,TRUE,FALSE,TRUE,75,27,32,32,100
Captain America,good,TRUE,FALSE,TRUE,63,35,56,46,100
Captain Marvel,good,TRUE,TRUE,FALSE,100,67,95,62,56
Falcon,good,FALSE,TRUE,FALSE,38,50,28,22,64
Hawkeye,good,TRUE,FALSE,TRUE,50,23,14,26,80
Hulk,good,TRUE,FALSE,FALSE,88,47,100,41,85
Iron Man,good,TRUE,TRUE,FALSE,100,58,85,100,64
Rocket Raccoon,good,FALSE,FALSE,TRUE,50,23,28,28,64
Scarlet Witch,bad,FALSE,TRUE,FALSE,88,23,42,67,28
Spider-Man,good,TRUE,FALSE,FALSE,88,60,74,58,85
Thor,good,TRUE,TRUE,FALSE,69,92,100,100,85
Vision,good,TRUE,TRUE,FALSE,100,54,95,76,70
War Machine,good,FALSE,TRUE,FALSE,63,63,100,100,85
